stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000216180	9606.ENSP00000264717	PNPLA3	GCKR	9606	0.701	0	0	0	0.062	0	0	0.695
9606.ENSP00000216180	9606.ENSP00000320886	PNPLA3	MLXIPL	9606	0.721	0	0	0	0.098	0.292	0	0.598
9606.ENSP00000229829	9606.ENSP00000339398	HLA-DOA	HLA-DQA1	9606	0.739	0	0	0.063	0.248	0	0.65	0.068
9606.ENSP00000229829	9606.ENSP00000364076	HLA-DOA	HLA-DQA2	9606	0.742	0	0	0.064	0.253	0	0.65	0.072
9606.ENSP00000229829	9606.ENSP00000366024	HLA-DOA	HLA-G	9606	0.748	0	0	0	0.081	0	0.54	0.452
9606.ENSP00000229829	9606.ENSP00000396330	HLA-DOA	HLA-DQB2	9606	0.781	0	0	0	0.313	0.191	0.54	0.247
9606.ENSP00000229829	9606.ENSP00000364080	HLA-DOA	HLA-DQB1	9606	0.872	0	0	0	0.386	0.191	0.54	0.508
9606.ENSP00000229829	9606.ENSP00000259951	HLA-DOA	HLA-F	9606	0.93	0	0	0	0.133	0	0.9	0.265
9606.ENSP00000229829	9606.ENSP00000353099	HLA-DOA	HLA-DRB1	9606	0.947	0	0	0	0.238	0.191	0.9	0.253
9606.ENSP00000229829	9606.ENSP00000379873	HLA-DOA	HLA-A	9606	0.96	0	0	0	0.096	0	0.9	0.597
9606.ENSP00000229829	9606.ENSP00000378786	HLA-DOA	HLA-DRA	9606	0.97	0	0	0.064	0.507	0	0.9	0.444
9606.ENSP00000229829	9606.ENSP00000393566	HLA-DOA	HLA-DPA1	9606	0.976	0	0	0.063	0.624	0	0.9	0.399
9606.ENSP00000229829	9606.ENSP00000399168	HLA-DOA	HLA-B	9606	0.977	0	0	0	0.122	0	0.9	0.768
9606.ENSP00000229829	9606.ENSP00000408146	HLA-DOA	HLA-DPB1	9606	0.977	0	0	0	0.521	0.191	0.9	0.48
9606.ENSP00000229829	9606.ENSP00000496848	HLA-DOA	HLA-DOB	9606	0.98	0	0	0	0.456	0.398	0.9	0.486
9606.ENSP00000229829	9606.ENSP00000363976	HLA-DOA	HLA-DMA	9606	0.989	0	0	0.116	0.531	0.488	0.9	0.569
9606.ENSP00000244527	9606.ENSP00000378757	SLC17A1	SLC16A9	9606	0.738	0	0	0	0	0.045	0	0.737
9606.ENSP00000244527	9606.ENSP00000498246	SLC17A1	ABCG2	9606	0.803	0	0	0	0	0	0	0.803
9606.ENSP00000244527	9606.ENSP00000264784	SLC17A1	SLC2A9	9606	0.878	0	0	0	0.06	0	0	0.876
9606.ENSP00000244527	9606.ENSP00000366797	SLC17A1	SLC22A12	9606	0.93	0	0	0	0.089	0.07	0	0.924
9606.ENSP00000244527	9606.ENSP00000301891	SLC17A1	SLC22A11	9606	0.931	0	0	0	0.1	0.07	0	0.924
9606.ENSP00000245414	9606.ENSP00000351255	IRF1	STAT4	9606	0.725	0	0	0	0.165	0	0	0.685
9606.ENSP00000245414	9606.ENSP00000346206	IRF1	TAP1	9606	0.821	0	0	0	0.786	0.048	0	0.193
9606.ENSP00000245414	9606.ENSP00000363993	IRF1	PSMB9	9606	0.875	0	0	0	0.549	0	0	0.734
9606.ENSP00000245414	9606.ENSP00000263253	IRF1	EP300	9606	0.984	0	0	0	0.045	0.774	0	0.932
9606.ENSP00000252229	9606.ENSP00000413079	MICB	MICA	9606	0.918	0	0	0.051	0.107	0.139	0.9	0.056
9606.ENSP00000252486	9606.ENSP00000418823	APOE	FTO	9606	0.713	0	0	0	0	0	0	0.713
9606.ENSP00000252486	9606.ENSP00000263253	APOE	EP300	9606	0.724	0	0	0	0	0	0	0.724
9606.ENSP00000252486	9606.ENSP00000412237	APOE	IL10	9606	0.734	0	0	0	0.087	0	0	0.72
9606.ENSP00000252486	9606.ENSP00000496870	APOE	LRP2	9606	0.999	0	0	0	0.044	0.292	0.9	0.988
9606.ENSP00000259915	9606.ENSP00000498246	POU5F1	ABCG2	9606	0.723	0	0	0	0.05	0	0	0.72
9606.ENSP00000259915	9606.ENSP00000332973	POU5F1	SMAD3	9606	0.962	0	0	0	0.057	0.314	0.8	0.741
9606.ENSP00000259951	9606.ENSP00000363993	HLA-F	PSMB9	9606	0.723	0	0	0	0.522	0	0	0.445
9606.ENSP00000259951	9606.ENSP00000364080	HLA-F	HLA-DQB1	9606	0.738	0	0	0	0.183	0.202	0.54	0.231
9606.ENSP00000259951	9606.ENSP00000346206	HLA-F	TAP1	9606	0.832	0	0	0	0.632	0	0.5	0.164
9606.ENSP00000259951	9606.ENSP00000496848	HLA-F	HLA-DOB	9606	0.929	0	0	0	0.125	0	0.9	0.26
9606.ENSP00000259951	9606.ENSP00000408146	HLA-F	HLA-DPB1	9606	0.931	0	0	0	0.245	0	0.9	0.161
9606.ENSP00000259951	9606.ENSP00000353099	HLA-F	HLA-DRB1	9606	0.94	0	0	0	0.18	0.165	0.9	0.232
9606.ENSP00000259951	9606.ENSP00000378786	HLA-F	HLA-DRA	9606	0.945	0	0	0	0.335	0	0.9	0.249
9606.ENSP00000259951	9606.ENSP00000393566	HLA-F	HLA-DPA1	9606	0.949	0	0	0	0.338	0.089	0.9	0.254
9606.ENSP00000259951	9606.ENSP00000404833	HLA-F	TAPBP	9606	0.959	0	0	0	0.251	0	0.9	0.507
9606.ENSP00000259951	9606.ENSP00000363976	HLA-F	HLA-DMA	9606	0.97	0	0	0	0.303	0	0.9	0.607
9606.ENSP00000259951	9606.ENSP00000366024	HLA-F	HLA-G	9606	0.978	0	0	0.052	0.765	0.609	0.65	0.395
