stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000198536	9606.ENSP00000315997	PILRA	LILRB1	9606	0.708	0	0	0	0.162	0	0	0.666
9606.ENSP00000216180	9606.ENSP00000264717	PNPLA3	GCKR	9606	0.701	0	0	0	0.062	0	0	0.695
9606.ENSP00000216180	9606.ENSP00000377900	PNPLA3	LIPF	9606	0.922	0	0	0	0	0.101	0.9	0.21
9606.ENSP00000216286	9606.ENSP00000353654	NID2	COL4A2	9606	0.734	0	0	0	0.231	0.096	0	0.649
9606.ENSP00000216540	9606.ENSP00000384513	SLC10A1	ABCG5	9606	0.719	0	0	0	0.26	0	0	0.636
9606.ENSP00000216968	9606.ENSP00000264832	PROCR	ICAM1	9606	0.721	0	0	0	0.044	0	0	0.721
9606.ENSP00000216968	9606.ENSP00000339191	PROCR	CAV1	9606	0.797	0	0	0	0.098	0.292	0	0.709
9606.ENSP00000216968	9606.ENSP00000308541	PROCR	F2	9606	0.819	0	0	0	0.062	0	0.5	0.645
9606.ENSP00000216968	9606.ENSP00000415743	PROCR	CD36	9606	0.832	0	0	0	0	0	0	0.832
9606.ENSP00000217407	9606.ENSP00000348170	LBP	HP	9606	0.762	0	0	0	0.29	0	0	0.679
9606.ENSP00000217407	9606.ENSP00000385675	LBP	IL6	9606	0.86	0	0	0	0.1	0	0.4	0.762
9606.ENSP00000218099	9606.ENSP00000363079	F9	MBL2	9606	0.749	0	0	0	0.365	0.046	0.54	0.205
9606.ENSP00000218099	9606.ENSP00000356771	F9	F5	9606	0.769	0	0	0	0.106	0.045	0.54	0.482
9606.ENSP00000218099	9606.ENSP00000493985	F9	KNG1	9606	0.783	0	0	0	0.24	0	0	0.726
9606.ENSP00000218099	9606.ENSP00000261405	F9	VWF	9606	0.915	0	0	0	0	0	0.5	0.837
9606.ENSP00000218099	9606.ENSP00000308541	F9	F2	9606	0.932	0	0	0.121	0.238	0	0.54	0.808
9606.ENSP00000218099	9606.ENSP00000384957	F9	F11	9606	0.967	0	0	0.181	0.203	0.071	0.9	0.55
9606.ENSP00000222381	9606.ENSP00000278222	PON1	SAA4	9606	0.715	0	0	0	0.064	0	0.54	0.392
9606.ENSP00000222381	9606.ENSP00000348170	PON1	HP	9606	0.831	0	0	0	0.254	0	0	0.783
9606.ENSP00000222381	9606.ENSP00000321334	PON1	LPA	9606	0.875	0	0	0	0.172	0	0.72	0.507
9606.ENSP00000222381	9606.ENSP00000466775	PON1	APOC2	9606	0.884	0	0	0	0.115	0	0.72	0.572
9606.ENSP00000222381	9606.ENSP00000468236	PON1	APOC4	9606	0.908	0	0	0	0.152	0	0.72	0.646
9606.ENSP00000222381	9606.ENSP00000274793	PON1	PLA2G7	9606	0.917	0	0	0	0	0	0.72	0.719
9606.ENSP00000222381	9606.ENSP00000465356	PON1	APOC1	9606	0.93	0	0	0	0.141	0	0.72	0.733
9606.ENSP00000222381	9606.ENSP00000252486	PON1	APOE	9606	0.977	0	0	0	0.103	0	0.72	0.918
9606.ENSP00000226218	9606.ENSP00000498441	VTN	FGA	9606	0.72	0	0	0	0.336	0	0	0.596
9606.ENSP00000226218	9606.ENSP00000336829	VTN	FGG	9606	0.721	0	0	0	0.347	0	0	0.59
9606.ENSP00000226218	9606.ENSP00000264832	VTN	ICAM1	9606	0.738	0	0	0	0	0	0	0.738
9606.ENSP00000226218	9606.ENSP00000265983	VTN	HPX	9606	0.739	0	0	0	0.383	0	0	0.594
9606.ENSP00000226218	9606.ENSP00000232003	VTN	HRG	9606	0.748	0	0	0	0.281	0	0	0.663
9606.ENSP00000226218	9606.ENSP00000273784	VTN	AHSG	9606	0.782	0	0	0	0.428	0	0	0.636
9606.ENSP00000226218	9606.ENSP00000493985	VTN	KNG1	9606	0.803	0	0	0	0.207	0.292	0	0.678
9606.ENSP00000226218	9606.ENSP00000380227	VTN	ITGA4	9606	0.834	0	0	0	0.055	0	0.65	0.539
9606.ENSP00000226218	9606.ENSP00000356399	VTN	CFH	9606	0.934	0	0	0	0.112	0	0	0.929
9606.ENSP00000226218	9606.ENSP00000261405	VTN	VWF	9606	0.966	0	0	0	0.102	0	0	0.964
9606.ENSP00000226218	9606.ENSP00000252486	VTN	APOE	9606	0.989	0	0	0	0.139	0.045	0	0.988
9606.ENSP00000226218	9606.ENSP00000308938	VTN	PLG	9606	0.995	0	0	0	0.311	0	0	0.993
9606.ENSP00000226218	9606.ENSP00000339328	VTN	PLAUR	9606	0.999	0	0	0	0	0.946	0.54	0.995
9606.ENSP00000228841	9606.ENSP00000261448	MYL2	CASQ2	9606	0.712	0	0	0	0.252	0.109	0	0.603
9606.ENSP00000228841	9606.ENSP00000327758	MYL2	NKX2-5	9606	0.813	0	0	0	0.108	0	0	0.798
9606.ENSP00000228841	9606.ENSP00000467141	MYL2	TTN	9606	0.944	0	0	0	0.635	0.125	0.5	0.694
9606.ENSP00000232003	9606.ENSP00000321334	HRG	LPA	9606	0.778	0	0	0	0.611	0.094	0	0.421
9606.ENSP00000232003	9606.ENSP00000308541	HRG	F2	9606	0.837	0	0	0	0.323	0.094	0	0.756
9606.ENSP00000232003	9606.ENSP00000306099	HRG	FGB	9606	0.851	0	0	0	0.335	0.069	0	0.778
9606.ENSP00000232003	9606.ENSP00000336829	HRG	FGG	9606	0.874	0	0	0	0.331	0.069	0	0.814
9606.ENSP00000232003	9606.ENSP00000273784	HRG	AHSG	9606	0.924	0	0.005	0	0.436	0.1	0	0.863
9606.ENSP00000232003	9606.ENSP00000498441	HRG	FGA	9606	0.936	0	0	0	0.6	0.312	0	0.788
