gene,drug,interaction_type,interaction_score,drug_concept_id,gene_concept_id,community,degree,betweenness,closeness,combined_score,is_hub
SCN10A,DIBUCAINE,nan,0.2302968036653267,rxcui:3339,hgnc:10582,6,0.0246913580246913,0.0,0.2469512195121951,0.0905475258456288,0
PLG,LANOTEPLASE,activator,1.250182648468916,ncit:C96707,hgnc:9071,2,0.1358024691358024,0.0031220835427473,0.3103448275862069,0.1497564600882522,0
IL6R,BAZEDOXIFENE,nan,1.615620653405984,rxcui:1441386,hgnc:6019,1,0.0123456790123456,0.0,0.2977941176470588,0.1033799322198015,0
VWF,PHENYLEPHRINE,nan,0.3454452054979901,rxcui:8163,hgnc:12726,2,0.1975308641975308,0.0805896815360542,0.3632286995515695,0.2137830817617182,1
IL6,"INSULIN, REGULAR, HUMAN",nan,0.040437175,rxcui:253182,hgnc:6018,1,0.1851851851851851,0.192698136888347,0.421875,0.2665861073578441,1
PDGFRB,IMATINIB,nan,0.096264064,rxcui:282388,hgnc:8804,1,0.0123456790123456,0.0,0.2977941176470588,0.1033799322198015,0
SCN10A,CONATUMUMAB,nan,0.172722603,ncit:C71015,hgnc:10582,6,0.0246913580246913,0.0,0.2469512195121951,0.0905475258456288,0
CAV1,DEHYDRATED ALCOHOL,nan,0.3323270331373069,rxcui:1310469,hgnc:1527,1,0.1358024691358024,0.3823806452564623,0.4111675126903553,0.3097835423608734,1
CDKN2A,ABEMACICLIB,nan,0.7440358272264402,rxcui:1946825,hgnc:1787,3,0.037037037037037,0.0106188004281686,0.2131578947368421,0.0869379107340159,0
CDKN2A,LETROZOLE,nan,0.1121958787087489,rxcui:72965,hgnc:1787,3,0.037037037037037,0.0106188004281686,0.2131578947368421,0.0869379107340159,0
APOE,LORAZEPAM,nan,0.072424374,rxcui:6470,hgnc:613,5,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.3393030571873309,1
F5,AZD8835,inhibitor,0.098328972,iuphar.ligand:8915,hgnc:3542,2,0.074074074074074,0.0018419888531544,0.2956204379562044,0.1238455002944776,0
IL6,DIHYDROSPHINGOSINE,nan,0.3571950424196904,iuphar.ligand:2453,hgnc:6018,1,0.1851851851851851,0.192698136888347,0.421875,0.2665861073578441,1
IL6,LEVOFLOXACIN ANHYDROUS,nan,0.3571950424196904,rxcui:1546009,hgnc:6018,1,0.1851851851851851,0.192698136888347,0.421875,0.2665861073578441,1
IFNAR1,INTERFERON ALFA,nan,1.458546423213736,chembl:CHEMBL2108506,hgnc:5432,1,0.0246913580246913,0.0246913580246913,0.3,0.1164609053497942,0
APOE,AZ8838,inhibitor,0.9053046764774912,iuphar.ligand:9585,hgnc:613,5,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.3393030571873309,1
APOC1,PGN-9856,agonist,1.944728564284981,iuphar.ligand:10110,hgnc:607,5,0.0987654320987654,0.0034968400940623,0.3319672131147541,0.1447431617691939,0
PLG,6-AMINOCAPROIC ACID,nan,1.666910197958555,rxcui:99,hgnc:9071,2,0.1358024691358024,0.0031220835427473,0.3103448275862069,0.1497564600882522,0
HP,GNE-7883,inhibitor,1.875273972703375,iuphar.ligand:12814,hgnc:5141,1,0.1481481481481481,0.0456043591697669,0.3648648648648648,0.1862057907275933,1
SCN5A,PROPAFENONE,nan,0.2169738480813822,rxcui:8754,hgnc:10593,6,0.0864197530864197,0.2819444444444444,0.3253012048192771,0.2312218007833804,1
CDKN1A,RECOMBINANT HUMAN STEM CELL FACTOR,nan,0.6775183385250904,ncit:C1410,hgnc:1784,3,0.0246913580246913,0.0087889476778365,0.2055837563451776,0.0796880206825685,0
SCN5A,CHLOROPROCAINE,blocker,0.045898314,rxcui:20859,hgnc:10593,6,0.0864197530864197,0.2819444444444444,0.3253012048192771,0.2312218007833804,1
SCN10A,CHLOROPROCAINE,blocker,0.159436249,rxcui:20859,hgnc:10582,6,0.0246913580246913,0.0,0.2469512195121951,0.0905475258456288,0
SCN10A,PROCAINE HYDROCHLORIDE,blocker,0.069089041,rxcui:106558,hgnc:10582,6,0.0246913580246913,0.0,0.2469512195121951,0.0905475258456288,0
SCN10A,ZONISAMIDE,blocker,0.027635616,rxcui:39998,hgnc:10582,6,0.0246913580246913,0.0,0.2469512195121951,0.0905475258456288,0
PDGFRB,VATALANIB,inhibitor,0.1458546423213736,ncit:C1868,hgnc:8804,1,0.0123456790123456,0.0,0.2977941176470588,0.1033799322198015,0
ACP1,CHEMBL:CHEMBL1520282,nan,2.386712328895204,chembl:CHEMBL1520282,hgnc:122,5,0.0246913580246913,0.0,0.2417910447761194,0.0888274676002702,0
FGB,HAEMATOXYLIN,nan,0.1346350544504987,chembl:CHEMBL1479103,hgnc:3662,2,0.1358024691358024,0.0035795312128856,0.3176470588235294,0.1523430197240725,0
PDGFRB,SORAFENIB,inhibitor,0.063331621,rxcui:495881,hgnc:8804,1,0.0123456790123456,0.0,0.2977941176470588,0.1033799322198015,0
APOE,ANTIDEPRESSANT AGENT,nan,0.034819411,ncit:C265,hgnc:613,5,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.3393030571873309,1
APOE,STAUROSPORINE,nan,0.06466462,ncit:C1237,hgnc:613,5,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.3393030571873309,1
FCGR3A,IL-18,nan,0.6604738520213144,iuphar.ligand:4983,hgnc:3619,1,0.074074074074074,0.0328593206422595,0.3151750972762646,0.1407028306641994,0
F9,RUBOXISTAURIN,inhibitor,0.172722603,ncit:C66524,hgnc:3551,2,0.074074074074074,0.0030386648673685,0.2945454545454545,0.1238860644956324,0
FCGR3A,LIF,nan,0.2476776945079929,iuphar.ligand:5016,hgnc:3619,1,0.074074074074074,0.0328593206422595,0.3151750972762646,0.1407028306641994,0
F5,ESTROGENS,nan,4.719790672871415,rxcui:4100,hgnc:3542,2,0.074074074074074,0.0018419888531544,0.2956204379562044,0.1238455002944776,0
TCF7L2,nan,nan,,,hgnc:11641,3,0.037037037037037,0.0130034037414211,0.2507739938080495,0.1002714781955025,0
FTO,RIBAVIRIN,nan,0.3454452054979901,rxcui:9344,hgnc:24678,3,0.0617283950617283,0.0942604083058876,0.3214285714285714,0.1591391249320625,0
NOS3,nan,nan,,,hgnc:7876,1,0.0864197530864197,0.0334147469169255,0.3970588235294117,0.172297774510919,1
NOS3,SPIRONOLACTONE,nan,0.2344092465879218,rxcui:9997,hgnc:7876,1,0.0864197530864197,0.0334147469169255,0.3970588235294117,0.172297774510919,1
FGA,ALFIMEPRASE,nan,3.182283105193605,ncit:C79877,hgnc:3661,2,0.1481481481481481,0.0176484036064382,0.3616071428571428,0.175801231537243,1
F9,VON WILLEBRAND FACTOR,nan,0.3454452054979901,rxcui:11274,hgnc:3551,2,0.074074074074074,0.0030386648673685,0.2945454545454545,0.1238860644956324,0
ESR2,nan,nan,,,hgnc:3468,1,0.0123456790123456,0.0,0.2924187725631769,0.1015881505251741,0
ICAM1,nan,nan,,,hgnc:5344,1,0.1234567901234567,0.0787082733165118,0.4070351758793969,0.2030667464397885,1
