drug,community,targets_in_module,module_size,module_coverage
"(10R)-10-METHYL-3-(6-METHYLPYRIDIN-3-YL)-9,10,11,12-TETRAHYDRO-8H-[1,4]DIAZEPINO[5',6':4,5]THIENO[3,2-F]QUINOLIN-8-ONE",3,1,10,0.1
(S)-LIQUIRITIGENIN,1,1,21,0.047619047619047616
"10,10-DIFLUORO TXA2",5,1,10,0.1
"13,14-DIHYDRO-16-M-CHLOROPHENOXY-W-TETRANOR-PGF1&ALPHA;",5,1,10,0.1
19(R)-OH-PGE2,5,1,10,0.1
2-FUROYL-LIGRLO-AMIDE,5,1,10,0.1
2-FUROYL-LIGRL[N-(ALEXA FLUOR 594)-O]-NH2,5,1,10,0.1
2-FUROYL-LIGRL[N[3H]PROPIONYL]-O-NH2,5,1,10,0.1
4-PHENYLBUTYRIC ACID,3,1,10,0.1
"5-QUINOXALIN-6-YLMETHYLENE-THIAZOLIDINE-2,4-DIONE",2,1,15,0.06666666666666667
6-AMINOCAPROIC ACID,2,1,15,0.06666666666666667
7-HYDROXYSTAUROSPORINE,6,1,14,0.07142857142857142
ABCIXIMAB,2,3,15,0.2
ABELACIMAB,2,1,15,0.06666666666666667
ABEMACICLIB,1,1,21,0.047619047619047616
ABEMACICLIB,3,1,10,0.1
ABRILUMAB,0,1,4,0.25
ABT-510,1,1,21,0.047619047619047616
AC-186,1,1,21,0.047619047619047616
AC-55541,5,1,10,0.1
AC-98170,5,1,10,0.1
AC264613,5,1,10,0.1
ACALISIB,2,1,15,0.06666666666666667
ACE INHIBITOR,5,1,10,0.1
ACETAMINOPHEN,3,1,10,0.1
ACETYLCYSTEINE,2,1,15,0.06666666666666667
ACOLBIFENE,1,1,21,0.047619047619047616
ADALIMUMAB-ADBM,1,1,21,0.047619047619047616
ADENOVIRUS VECTOR,1,1,21,0.047619047619047616
AEM-28,5,1,10,0.1
AFACIFENACIN,6,1,14,0.07142857142857142
AFIMOXIFENE,1,1,21,0.047619047619047616
AFM-13,1,1,21,0.047619047619047616
AGN 191976,5,1,10,0.1
AH13205,5,1,10,0.1
AH23848,5,1,10,0.1
AH6809,5,1,10,0.1
AKT INHIBITOR VIII,5,1,10,0.1
AKT INHIBITOR X,2,1,15,0.06666666666666667
AL12180,5,1,10,0.1
ALBINTERFERON ALFA-2B,1,1,21,0.047619047619047616
ALDESLEUKIN,1,1,21,0.047619047619047616
ALENDRONATE SODIUM,1,1,21,0.047619047619047616
ALFIMEPRASE,2,3,15,0.2
ALICAFORSEN,1,1,21,0.047619047619047616
ALLYLESTRENOL,1,1,21,0.047619047619047616
ALPELISIB,1,1,21,0.047619047619047616
ALPELISIB,2,1,15,0.06666666666666667
ALPROSTADIL,5,1,10,0.1
ALTEPLASE,2,2,15,0.13333333333333333
ALVOCIDIB,3,1,10,0.1
AMEDIPLASE,2,1,15,0.06666666666666667
AMG319,2,1,15,0.06666666666666667
AMILORIDE,6,1,14,0.07142857142857142
AMIODARONE HYDROCHLORIDE,6,2,14,0.14285714285714285
AMUVATINIB,1,1,21,0.047619047619047616
ANCROD,2,3,15,0.2
ANG1005,1,1,21,0.047619047619047616
ANGIOGENESIS INHIBITOR,1,1,21,0.047619047619047616
ANIFROLUMAB,1,1,21,0.047619047619047616
ANISINDIONE,2,1,15,0.06666666666666667
ANISTREPLASE,2,2,15,0.13333333333333333
ANLOTINIB,1,1,21,0.047619047619047616
ANTI-THYMOCYTE GLOBULIN,1,1,21,0.047619047619047616
ANTIDEPRESSANT AGENT,2,1,15,0.06666666666666667
ANTIDEPRESSANT AGENT,5,1,10,0.1
ANTIHYPERTENSIVE AGENT,1,1,21,0.047619047619047616
ANTIMETABOLITE,3,1,10,0.1
ANTISENSE OLIGONUCLEOTIDES,1,1,21,0.047619047619047616
ANTITHROMBIN ALFA,2,4,15,0.26666666666666666
ANTITHROMBIN ALFA,4,1,8,0.125
ANX-005,4,1,8,0.125
APITOLISIB,2,1,15,0.06666666666666667
APRAMIDE A,2,1,15,0.06666666666666667
APRINDINE,6,1,14,0.07142857142857142
APROTININ,2,1,15,0.06666666666666667
ARGATROBAN,2,1,15,0.06666666666666667
ARGININE,1,1,21,0.047619047619047616
ARSENIC TRIOXIDE,1,1,21,0.047619047619047616
ARSENIC TRIOXIDE,3,1,10,0.1
ARTICAINE HYDROCHLORIDE,6,2,14,0.14285714285714285
ARZOXIFENE,1,1,21,0.047619047619047616
AS-252424,2,1,15,0.06666666666666667
AS604872,5,1,10,0.1
ASPIRIN,1,1,21,0.047619047619047616
ASPIRIN,5,1,10,0.1
AST-487,1,1,21,0.047619047619047616
AT-9283,1,1,21,0.047619047619047616
ATECEGATRAN METOXIL,2,1,15,0.06666666666666667
ATENOLOL,3,1,10,0.1
ATL1102,0,1,4,0.25
ATORVASTATIN CALCIUM TRIHYDRATE,1,1,21,0.047619047619047616
ATORVASTATIN CALCIUM TRIHYDRATE,3,1,10,0.1
AUS-131,1,1,21,0.047619047619047616
AVATROMBOPAG,2,2,15,0.13333333333333333
AVORALSTAT,2,1,15,0.06666666666666667
AXITINIB,1,1,21,0.047619047619047616
AY77,5,1,10,0.1
AZ2,2,1,15,0.06666666666666667
AZ2429,5,1,10,0.1
AZ3451,5,1,10,0.1
AZ7188,5,1,10,0.1
AZ8838,5,1,10,0.1
AZATHIOPRINE,2,1,15,0.06666666666666667
AZATHIOPRINE,3,1,10,0.1
AZD-8165,2,1,15,0.06666666666666667
AZD-8186,2,1,15,0.06666666666666667
AZD1208,2,2,15,0.13333333333333333
