drug,community,targets_in_module,module_size,module_coverage
"(10R)-10-METHYL-3-(6-METHYLPYRIDIN-3-YL)-9,10,11,12-TETRAHYDRO-8H-[1,4]DIAZEPINO[5',6':4,5]THIENO[3,2-F]QUINOLIN-8-ONE",3,1,9,0.1111111111111111
(S)-LIQUIRITIGENIN,1,1,19,0.05263157894736842
"10,10-DIFLUORO TXA2",5,1,8,0.125
"13,14-DIHYDRO-16-M-CHLOROPHENOXY-W-TETRANOR-PGF1&ALPHA;",5,1,8,0.125
19(R)-OH-PGE2,5,1,8,0.125
2-FUROYL-LIGRLO-AMIDE,5,1,8,0.125
2-FUROYL-LIGRL[N-(ALEXA FLUOR 594)-O]-NH2,5,1,8,0.125
2-FUROYL-LIGRL[N[3H]PROPIONYL]-O-NH2,5,1,8,0.125
4-PHENYLBUTYRIC ACID,3,1,9,0.1111111111111111
"5-QUINOXALIN-6-YLMETHYLENE-THIAZOLIDINE-2,4-DIONE",2,1,12,0.08333333333333333
6-AMINOCAPROIC ACID,2,1,12,0.08333333333333333
7-HYDROXYSTAUROSPORINE,6,1,9,0.1111111111111111
ABCIXIMAB,2,3,12,0.25
ABELACIMAB,2,1,12,0.08333333333333333
ABEMACICLIB,1,1,19,0.05263157894736842
ABEMACICLIB,3,1,9,0.1111111111111111
ABRILUMAB,0,1,3,0.3333333333333333
ABT-510,1,1,19,0.05263157894736842
AC-186,1,1,19,0.05263157894736842
AC-55541,5,1,8,0.125
AC-98170,5,1,8,0.125
AC264613,5,1,8,0.125
ACALISIB,2,1,12,0.08333333333333333
ACE INHIBITOR,5,1,8,0.125
ACETAMINOPHEN,3,1,9,0.1111111111111111
ACETYLCYSTEINE,2,1,12,0.08333333333333333
ACOLBIFENE,1,1,19,0.05263157894736842
ADALIMUMAB-ADBM,1,1,19,0.05263157894736842
ADENOVIRUS VECTOR,1,1,19,0.05263157894736842
AEM-28,5,1,8,0.125
AFACIFENACIN,6,1,9,0.1111111111111111
AFIMOXIFENE,1,1,19,0.05263157894736842
AFM-13,1,1,19,0.05263157894736842
AGN 191976,5,1,8,0.125
AH13205,5,1,8,0.125
AH23848,5,1,8,0.125
AH6809,5,1,8,0.125
AKT INHIBITOR VIII,5,1,8,0.125
AKT INHIBITOR X,2,1,12,0.08333333333333333
AL12180,5,1,8,0.125
ALBINTERFERON ALFA-2B,1,1,19,0.05263157894736842
ALDESLEUKIN,1,1,19,0.05263157894736842
ALENDRONATE SODIUM,1,1,19,0.05263157894736842
ALFIMEPRASE,2,3,12,0.25
ALICAFORSEN,1,1,19,0.05263157894736842
ALLYLESTRENOL,1,1,19,0.05263157894736842
ALPELISIB,1,1,19,0.05263157894736842
ALPELISIB,2,1,12,0.08333333333333333
ALPROSTADIL,5,1,8,0.125
ALTEPLASE,2,2,12,0.16666666666666666
ALVOCIDIB,3,1,9,0.1111111111111111
AMEDIPLASE,2,1,12,0.08333333333333333
AMG319,2,1,12,0.08333333333333333
AMILORIDE,6,1,9,0.1111111111111111
AMIODARONE HYDROCHLORIDE,6,2,9,0.2222222222222222
AMUVATINIB,1,1,19,0.05263157894736842
ANCROD,2,3,12,0.25
ANG1005,1,1,19,0.05263157894736842
ANGIOGENESIS INHIBITOR,1,1,19,0.05263157894736842
ANIFROLUMAB,1,1,19,0.05263157894736842
ANISINDIONE,2,1,12,0.08333333333333333
ANISTREPLASE,2,2,12,0.16666666666666666
ANLOTINIB,1,1,19,0.05263157894736842
ANTI-THYMOCYTE GLOBULIN,1,1,19,0.05263157894736842
ANTIDEPRESSANT AGENT,2,1,12,0.08333333333333333
ANTIDEPRESSANT AGENT,5,1,8,0.125
ANTIHYPERTENSIVE AGENT,1,1,19,0.05263157894736842
ANTIMETABOLITE,3,1,9,0.1111111111111111
ANTISENSE OLIGONUCLEOTIDES,1,1,19,0.05263157894736842
ANTITHROMBIN ALFA,2,4,12,0.3333333333333333
ANTITHROMBIN ALFA,4,1,6,0.16666666666666666
ANX-005,4,1,6,0.16666666666666666
APITOLISIB,2,1,12,0.08333333333333333
APRAMIDE A,2,1,12,0.08333333333333333
APRINDINE,6,1,9,0.1111111111111111
APROTININ,2,1,12,0.08333333333333333
ARGATROBAN,2,1,12,0.08333333333333333
ARGININE,1,1,19,0.05263157894736842
ARSENIC TRIOXIDE,1,1,19,0.05263157894736842
ARSENIC TRIOXIDE,3,1,9,0.1111111111111111
ARTICAINE HYDROCHLORIDE,6,2,9,0.2222222222222222
ARZOXIFENE,1,1,19,0.05263157894736842
AS-252424,2,1,12,0.08333333333333333
AS604872,5,1,8,0.125
ASPIRIN,1,1,19,0.05263157894736842
ASPIRIN,5,1,8,0.125
AST-487,1,1,19,0.05263157894736842
AT-9283,1,1,19,0.05263157894736842
ATECEGATRAN METOXIL,2,1,12,0.08333333333333333
ATENOLOL,3,1,9,0.1111111111111111
ATL1102,0,1,3,0.3333333333333333
ATORVASTATIN CALCIUM TRIHYDRATE,1,1,19,0.05263157894736842
ATORVASTATIN CALCIUM TRIHYDRATE,3,1,9,0.1111111111111111
AUS-131,1,1,19,0.05263157894736842
AVATROMBOPAG,2,2,12,0.16666666666666666
AVORALSTAT,2,1,12,0.08333333333333333
AXITINIB,1,1,19,0.05263157894736842
AY77,5,1,8,0.125
AZ2,2,1,12,0.08333333333333333
AZ2429,5,1,8,0.125
AZ3451,5,1,8,0.125
AZ7188,5,1,8,0.125
AZ8838,5,1,8,0.125
AZATHIOPRINE,2,1,12,0.08333333333333333
AZATHIOPRINE,3,1,9,0.1111111111111111
AZD-8165,2,1,12,0.08333333333333333
AZD-8186,2,1,12,0.08333333333333333
AZD1208,2,2,12,0.16666666666666666
AZD1305,6,1,9,0.1111111111111111
AZD2927,6,1,9,0.1111111111111111
AZD3458,2,1,12,0.08333333333333333
AZD6482,2,1,12,0.08333333333333333
AZD7009,6,1,9,0.1111111111111111
AZD7648,2,1,12,0.08333333333333333
AZD8154,2,1,12,0.08333333333333333
AZD8835,2,1,12,0.08333333333333333
BAFETINIB,1,1,19,0.05263157894736842
BALANOL,6,1,9,0.1111111111111111
BARASERTIB,1,1,19,0.05263157894736842
BARASERTIB-HQPA,1,1,19,0.05263157894736842
BAY-6672,5,1,8,0.125
BAY-985,1,1,19,0.05263157894736842
BAZEDOXIFENE,1,2,19,0.10526315789473684
BAZEDOXIFENE ACETATE,1,1,19,0.05263157894736842
BECAPLERMIN,1,1,19,0.05263157894736842
BENOXINATE,6,1,9,0.1111111111111111
BENOXINATE HYDROCHLORIDE,6,2,9,0.2222222222222222
"BENZO(A)PYRENE-7,8-DIOL 9,10-EPOXIDE",5,1,8,0.125
BENZOCAINE,6,1,9,0.1111111111111111
BENZONATATE,6,1,9,0.1111111111111111
BEPRIDIL,6,1,9,0.1111111111111111
BEVACIZUMAB-AWWB,1,1,19,0.05263157894736842
BGT-226,2,1,12,0.08333333333333333
BI-505,1,1,19,0.05263157894736842
BIAFINE CREAM,1,1,19,0.05263157894736842
BICIROMAB BRALLOBARBITAL,2,1,12,0.08333333333333333
BIMATOPROST,5,1,8,0.125
