drug,n_targets_in_network,n_hub_targets,sum_centrality,mean_centrality,max_centrality,mean_degree,mean_betweenness,mean_closeness,n_communities_hit,max_module_coverage,mean_module_coverage,n_targets_in_network_norm,n_hub_targets_norm,sum_centrality_norm,mean_centrality_norm,n_communities_hit_norm,max_module_coverage_norm,mean_module_coverage_norm,drug_score
nan,36,12,5.591819134699157,0.1553283092971988,0.3393030571873309,0.09259259259259253,0.05102431863501414,0.32236801666398973,7,0.7333333333333333,0.4324829931972789,1.0,1.0,1.0,0.2913555764449828,1.0,1.0,0.850751879699248,0.8937033364667474
PREDNISONE,3,3,0.7253839134599681,0.24179463781998936,0.3393030571873309,0.176954732510288,0.14826087615457037,0.4001683047951097,3,0.1,0.07142857142857144,0.05714285714285714,0.25,0.11714088061793089,0.6244115106732163,0.3333333333333333,0.0763888888888889,0.052631578947368446,0.24580022018488606
FENOFIBRATE MICRONIZED,2,2,0.6058891645451749,0.30294458227258747,0.3393030571873309,0.2160493827160493,0.2617381684495392,0.4310461956521739,2,0.1,0.07380952380952381,0.02857142857142857,0.16666666666666666,0.09546237797655965,0.8599523532833722,0.16666666666666666,0.0763888888888889,0.05789473684210527,0.22667659842908758
RIBAVIRIN,3,2,0.6395083140516248,0.21316943801720825,0.2665861073578441,0.14814814814814806,0.12251607557676293,0.3688440903267136,3,0.1,0.07142857142857144,0.05714285714285714,0.16666666666666666,0.1015614980466467,0.5141513339586213,0.3333333333333333,0.0763888888888889,0.052631578947368446,0.20531198383010665
STAUROSPORINE,3,2,0.7122925321187392,0.23743084403957973,0.3393030571873309,0.19753086419753083,0.13771622141160875,0.3770454465095996,2,0.13333333333333333,0.11666666666666667,0.05714285714285714,0.16666666666666666,0.11476586792856665,0.6076028009807422,0.16666666666666666,0.125,0.15263157894736842,0.20183168897091988
LECANEMAB,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
NORETHINDRONE ACETATE,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
I-191,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
HUMAN CHORIONIC GONADOTROPIN,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
"BENZO(A)PYRENE-7,8-DIOL 9,10-EPOXIDE",1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
SOY PROTEIN ISOLATE,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
I-287,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
VITAMIN E,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
RIVASTIGMINE,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
GINKGO BILOBA EXTRACT,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
SOYBEAN SEED OIL,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
CN-105,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
TRANS-CINNAMOYL-LIGRLO [N-[3H]PROPIONYL]-NH2,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
TRIAMCINOLONE,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
TRETINOIN,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
ISOX-CHA-CHG-ARK(SULFO-CY5)-NH2,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
LORAZEPAM,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
TROGLITAZONE,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
ISOX-CHA-CHG-ALA-ARG-DPR(4FB)-NH2,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
IRBESARTAN,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
AZ8838,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
AZ7188,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
AZ3451,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
AZ2429,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
AY77,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
P2PAL18S,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
SLIGKV-NH2,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
GB88,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
SLIGRL-NH2,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
GB110,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
AEM-28,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
GALANTAMINE,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
[3H]2-FUROYL-LIGRL-NH2,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
AC264613,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
AC-98170,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
C391,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
AC-55541,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
2-FUROYL-LIGRL[N[3H]PROPIONYL]-O-NH2,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
FLUVASTATIN,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
LUTEIN,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
2-FUROYL-LIGRL[N-(ALEXA FLUOR 594)-O]-NH2,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
2-FUROYL-LIGRLO-AMIDE,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
PHYTOSTEROL,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,1,0.1,0.1,0.0,0.08333333333333333,0.047098849997344434,1.0,0.0,0.0763888888888889,0.11578947368421054,0.1878919922216911
