drug,n_targets_in_network,n_hub_targets,sum_centrality,mean_centrality,max_centrality,mean_degree,mean_betweenness,mean_closeness,mean_interaction_score,n_communities_hit,max_module_coverage,mean_module_coverage,n_targets_in_network_norm,n_hub_targets_norm,sum_centrality_norm,mean_centrality_norm,n_communities_hit_norm,max_module_coverage_norm,mean_module_coverage_norm,mean_interaction_score_norm,hub_component,centrality_component,module_component,evidence_component,drug_score
PREDNISONE,3,3,0.7253839134599681,0.24179463781998936,0.3393030571873309,0.176954732510288,0.14826087615457037,0.4001683047951097,0.08595566333333333,3,0.125,0.08698830409356724,0.5,1.0,0.9897396532285042,0.6244115106732163,1.0,0.11785714285714288,0.05595238095238095,0.0015312415423127527,1.0,0.782193279816217,0.5465476190476191,0.0015312415423127527,0.7722633978131263
RIBAVIRIN,3,2,0.6395083140516248,0.21316943801720825,0.2665861073578441,0.14814814814814806,0.12251607557676293,0.3688440903267136,0.1918315481659967,3,0.1111111111111111,0.08235867446393762,0.5,0.6666666666666666,0.8581072749991678,0.5141513339586213,1.0,0.09523809523809525,0.048412698412698414,0.0035478440537958958,0.6666666666666666,0.6832990376871703,0.5382539682539683,0.0035478440537958958,0.6144811342616848
STAUROSPORINE,3,2,0.7122925321187392,0.23743084403957973,0.3393030571873309,0.19753086419753083,0.13771622141160875,0.3770454465095996,0.11728609373946992,2,0.16666666666666666,0.14583333333333331,0.5,0.6666666666666666,0.9696728394638751,0.6076028009807422,0.5,0.18571428571428572,0.15178571428571427,0.00212798767333891,0.6666666666666666,0.7671172600261601,0.3360714285714286,0.00212798767333891,0.60750092244175
FENOFIBRATE MICRONIZED,2,2,0.6058891645451749,0.30294458227258747,0.3393030571873309,0.2160493827160493,0.2617381684495392,0.4310461956521739,0.07603422300000001,2,0.125,0.08881578947368421,0.25,0.6666666666666666,0.8065749580887643,0.8599523532833722,0.5,0.11785714285714288,0.05892857142857144,0.001342269317661671,0.6666666666666666,0.7112731850293939,0.29714285714285715,0.001342269317661671,0.5773382922395454
HEPARIN,3,2,0.5751323676332534,0.19171078921108445,0.2206464552073358,0.16049382716049376,0.06407997839650767,0.3505585620762519,0.10700110933333333,2,0.16666666666666666,0.10964912280701754,0.5,0.6666666666666666,0.7594301305460572,0.43149568698599244,0.5,0.18571428571428572,0.09285714285714286,0.0019320910778416378,0.6666666666666666,0.6091637713688264,0.3242857142857143,0.0019320910778416378,0.5419525892918987
ANTITHROMBIN ALFA,5,1,0.7320776573624337,0.14641553147248673,0.2206464552073358,0.1086419753086419,0.01966823343452052,0.31093638567429777,0.29799675293329264,2,0.3333333333333333,0.25,1.0,0.3333333333333333,1.0,0.2570248306426357,0.5,0.4571428571428572,0.3214285714285715,0.005569957199808556,0.3333333333333333,0.7771074491927907,0.4514285714285714,0.005569957199808556,0.5180738584894877
VINCRISTINE,3,2,0.5267836869368365,0.17559456231227885,0.2137830817617182,0.11934156378600817,0.0489545830317464,0.3584875401190819,0.04633371533333333,2,0.10526315789473684,0.09429824561403508,0.5,0.6666666666666666,0.6853200006818361,0.3694182853232041,0.5,0.08571428571428573,0.06785714285714285,0.000776568086946226,0.6666666666666666,0.5534854859378793,0.28928571428571426,0.000776568086946226,0.5126234989699752
IMMUNOSUPPRESSANT,3,1,0.5596939085340988,0.18656463617803296,0.3393030571873309,0.1152263374485596,0.12414215611027579,0.3203254149752633,0.1329559739386925,3,0.125,0.09624756335282651,0.5,0.3333333333333333,0.7357656542405724,0.4116734413166547,1.0,0.11785714285714288,0.07103174603174604,0.0024264495923522512,0.3333333333333333,0.5913848595152826,0.5495634920634921,0.0024264495923522512,0.4632546313650957
VITAMIN B6,2,2,0.3999888724893115,0.19999443624465574,0.2137830817617182,0.17283950617283944,0.06309702035291055,0.3640467822082172,1.7107762557995698,2,0.08333333333333333,0.06798245614035087,0.25,0.6666666666666666,0.4909655730229175,0.46340311093606606,0.5,0.05,0.02499999999999999,0.032478962004395574,0.6666666666666666,0.4345037197922786,0.27,0.032478962004395574,0.4627587693504645
STREPTOZOCIN,2,2,0.3999888724893115,0.19999443624465574,0.2137830817617182,0.17283950617283944,0.06309702035291055,0.3640467822082172,0.25318344256469305,2,0.08333333333333333,0.06798245614035087,0.25,0.6666666666666666,0.4909655730229175,0.46340311093606606,0.5,0.05,0.02499999999999999,0.004716404623789739,0.6666666666666666,0.4345037197922786,0.27,0.004716404623789739,0.46137064148143425
