stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000000233,9606.ENSP00000418915,ARF5,CDKN2A,9606,0.76,0,0.0,0.0,0.046,0.102,0.0,0.743
9606.ENSP00000000233,9606.ENSP00000480301,ARF5,IQSEC1,9606,0.835,0,0.0,0.0,0.049,0.062,0.0,0.829
9606.ENSP00000155840,9606.ENSP00000486891,KCNQ1,TCF7L2,9606,0.714,0,0.0,0.0,0.05,0.0,0.0,0.712
9606.ENSP00000155840,9606.ENSP00000410242,KCNQ1,IGF2BP2,9606,0.739,0,0.0,0.0,0.0,0.0,0.0,0.739
9606.ENSP00000155840,9606.ENSP00000345708,KCNQ1,KCNJ11,9606,0.749,0,0.0,0.0,0.071,0.0,0.0,0.741
9606.ENSP00000155840,9606.ENSP00000415011,KCNQ1,SLC30A8,9606,0.755,0,0.0,0.0,0.0,0.0,0.0,0.755
9606.ENSP00000155840,9606.ENSP00000391826,KCNQ1,IGF2,9606,0.822,0,0.0,0.0,0.0,0.0,0.0,0.822
9606.ENSP00000155840,9606.ENSP00000274695,KCNQ1,CDKAL1,9606,0.833,0,0.0,0.0,0.0,0.0,0.0,0.833
9606.ENSP00000216180,9606.ENSP00000264717,PNPLA3,GCKR,9606,0.701,0,0.0,0.0,0.062,0.0,0.0,0.695
9606.ENSP00000216180,9606.ENSP00000320886,PNPLA3,MLXIPL,9606,0.721,0,0.0,0.0,0.098,0.292,0.0,0.598
9606.ENSP00000216180,9606.ENSP00000422607,PNPLA3,ACSL1,9606,0.732,0,0.0,0.0,0.101,0.0,0.6,0.315
9606.ENSP00000216180,9606.ENSP00000482264,PNPLA3,DGAT1,9606,0.828,0,0.0,0.0,0.0,0.0,0.65,0.529
9606.ENSP00000216180,9606.ENSP00000374014,PNPLA3,TM6SF2,9606,0.916,0,0.0,0.0,0.0,0.0,0.0,0.916
9606.ENSP00000216180,9606.ENSP00000497642,PNPLA3,LPL,9606,0.94,0,0.0,0.0,0.058,0.0,0.9,0.419
9606.ENSP00000221930,9606.ENSP00000391826,TGFB1,IGF2,9606,0.781,0,0.0,0.0,0.064,0.0,0.0,0.775
9606.ENSP00000221930,9606.ENSP00000287820,TGFB1,PPARG,9606,0.922,0,0.0,0.0,0.105,0.0,0.75,0.68
9606.ENSP00000221930,9606.ENSP00000301873,TGFB1,LTBP3,9606,0.996,0,0.0,0.0,0.13,0.514,0.7,0.975
9606.ENSP00000223366,9606.ENSP00000419361,GCK,ADCY5,9606,0.736,0,0.0,0.0,0.07,0.0,0.0,0.728
9606.ENSP00000223366,9606.ENSP00000312987,GCK,HNF4A,9606,0.739,0,0.0,0.0,0.053,0.0,0.0,0.735
9606.ENSP00000223366,9606.ENSP00000480291,GCK,HNF1B,9606,0.759,0,0.0,0.0,0.057,0.0,0.0,0.755
9606.ENSP00000223366,9606.ENSP00000257068,GCK,MTNR1B,9606,0.869,0,0.0,0.0,0.081,0.0,0.0,0.864
9606.ENSP00000223366,9606.ENSP00000345708,GCK,KCNJ11,9606,0.899,0,0.0,0.0,0.042,0.0,0.0,0.899
9606.ENSP00000223366,9606.ENSP00000438804,GCK,HNF1A,9606,0.901,0,0.0,0.0,0.076,0.0,0.0,0.898
9606.ENSP00000223366,9606.ENSP00000494321,GCK,ABCC8,9606,0.949,0,0.004,0.0,0.117,0.054,0.0,0.944
9606.ENSP00000223366,9606.ENSP00000323568,GCK,SLC2A2,9606,0.961,0,0.0,0.0,0.069,0.0,0.0,0.96
9606.ENSP00000223366,9606.ENSP00000264717,GCK,GCKR,9606,0.999,0,0.0,0.0,0.093,0.889,0.9,0.998
9606.ENSP00000226760,9606.ENSP00000345708,WFS1,KCNJ11,9606,0.725,0,0.0,0.0,0.057,0.0,0.0,0.72
9606.ENSP00000226760,9606.ENSP00000274695,WFS1,CDKAL1,9606,0.737,0,0.0,0.0,0.0,0.071,0.0,0.729
9606.ENSP00000226760,9606.ENSP00000494321,WFS1,ABCC8,9606,0.749,0,0.0,0.0,0.072,0.069,0.0,0.733
9606.ENSP00000227507,9606.ENSP00000312987,CCND1,HNF4A,9606,0.773,0,0.0,0.0,0.0,0.0,0.0,0.773
9606.ENSP00000227507,9606.ENSP00000486891,CCND1,TCF7L2,9606,0.82,0,0.0,0.0,0.063,0.292,0.5,0.522
9606.ENSP00000227507,9606.ENSP00000261254,CCND1,CCND2,9606,0.942,0,0.0,0.058,0.053,0.0,0.9,0.429
9606.ENSP00000227507,9606.ENSP00000381185,CCND1,BCL2,9606,0.958,0,0.0,0.0,0.052,0.0,0.0,0.957
9606.ENSP00000227507,9606.ENSP00000418915,CCND1,CDKN2A,9606,0.998,0,0.0,0.0,0.0,0.726,0.9,0.946
9606.ENSP00000252486,9606.ENSP00000418823,APOE,FTO,9606,0.713,0,0.0,0.0,0.0,0.0,0.0,0.713
9606.ENSP00000252486,9606.ENSP00000287820,APOE,PPARG,9606,0.74,0,0.0,0.0,0.054,0.0,0.0,0.737
9606.ENSP00000252486,9606.ENSP00000497642,APOE,LPL,9606,0.982,0,0.0,0.0,0.102,0.0,0.8,0.908
9606.ENSP00000256646,9606.ENSP00000434552,NOTCH2,MAML2,9606,0.968,0,0.0,0.0,0.067,0.071,0.9,0.676
9606.ENSP00000257068,9606.ENSP00000486891,MTNR1B,TCF7L2,9606,0.724,0,0.0,0.0,0.056,0.0,0.0,0.72
9606.ENSP00000257068,9606.ENSP00000345708,MTNR1B,KCNJ11,9606,0.745,0,0.0,0.0,0.044,0.0,0.0,0.745
9606.ENSP00000257068,9606.ENSP00000264717,MTNR1B,GCKR,9606,0.749,0,0.0,0.0,0.085,0.0,0.0,0.737
9606.ENSP00000257068,9606.ENSP00000415011,MTNR1B,SLC30A8,9606,0.763,0,0.0,0.0,0.0,0.0,0.0,0.763
9606.ENSP00000257068,9606.ENSP00000274695,MTNR1B,CDKAL1,9606,0.8,0,0.0,0.0,0.0,0.0,0.0,0.8
9606.ENSP00000257068,9606.ENSP00000385780,MTNR1B,DGKB,9606,0.884,0,0.0,0.0,0.042,0.0,0.0,0.884
9606.ENSP00000257068,9606.ENSP00000419361,MTNR1B,ADCY5,9606,0.911,0,0.0,0.0,0.042,0.0,0.0,0.911
9606.ENSP00000259915,9606.ENSP00000365433,POU5F1,TCF19,9606,0.71,0,0.0,0.0,0.055,0.0,0.0,0.706
9606.ENSP00000259915,9606.ENSP00000381382,POU5F1,TCF4,9606,0.878,0,0.0,0.0,0.0,0.292,0.0,0.834
9606.ENSP00000260731,9606.ENSP00000415011,KIF11,SLC30A8,9606,0.79,0,0.0,0.0,0.0,0.0,0.0,0.79
9606.ENSP00000260731,9606.ENSP00000377793,KIF11,PRC1,9606,0.972,0,0.0,0.0,0.902,0.409,0.0,0.56
9606.ENSP00000261254,9606.ENSP00000381185,CCND2,BCL2,9606,0.885,0,0.0,0.0,0.064,0.0,0.0,0.882
9606.ENSP00000261254,9606.ENSP00000418915,CCND2,CDKN2A,9606,0.99,0,0.0,0.0,0.0,0.609,0.9,0.78
9606.ENSP00000264717,9606.ENSP00000374014,GCKR,TM6SF2,9606,0.701,0,0.0,0.0,0.063,0.0,0.0,0.695
9606.ENSP00000264717,9606.ENSP00000385780,GCKR,DGKB,9606,0.743,0,0.0,0.0,0.0,0.0,0.0,0.743
9606.ENSP00000264917,9606.ENSP00000419361,PDE8B,ADCY5,9606,0.74,0,0.0,0.0,0.072,0.0,0.65,0.264
9606.ENSP00000265709,9606.ENSP00000377233,ANK1,ARAP1,9606,0.727,0,0.0,0.0,0.074,0.0,0.0,0.718
9606.ENSP00000265709,9606.ENSP00000434552,ANK1,MAML2,9606,0.763,0,0.0,0.0,0.046,0.05,0.0,0.76
9606.ENSP00000265986,9606.ENSP00000380440,IDE,INS-IGF2,9606,0.903,0,0.0,0.0,0.0,0.9,0.0,0.072
9606.ENSP00000265986,9606.ENSP00000391826,IDE,IGF2,9606,0.95,0,0.0,0.0,0.0,0.926,0.0,0.357
9606.ENSP00000274695,9606.ENSP00000480291,CDKAL1,HNF1B,9606,0.706,0,0.0,0.0,0.0,0.0,0.0,0.706
9606.ENSP00000274695,9606.ENSP00000419361,CDKAL1,ADCY5,9606,0.731,0,0.0,0.0,0.0,0.0,0.0,0.731
9606.ENSP00000274695,9606.ENSP00000283928,CDKAL1,JAZF1,9606,0.762,0,0.0,0.0,0.0,0.0,0.0,0.762
9606.ENSP00000274695,9606.ENSP00000345708,CDKAL1,KCNJ11,9606,0.857,0,0.0,0.0,0.0,0.0,0.0,0.857
9606.ENSP00000274695,9606.ENSP00000418823,CDKAL1,FTO,9606,0.872,0,0.0,0.0,0.072,0.0,0.0,0.868
9606.ENSP00000274695,9606.ENSP00000486891,CDKAL1,TCF7L2,9606,0.884,0,0.0,0.0,0.0,0.0,0.0,0.884
9606.ENSP00000274695,9606.ENSP00000410242,CDKAL1,IGF2BP2,9606,0.898,0,0.0,0.0,0.044,0.0,0.0,0.898
9606.ENSP00000274695,9606.ENSP00000415011,CDKAL1,SLC30A8,9606,0.926,0,0.0,0.0,0.0,0.0,0.0,0.926
9606.ENSP00000280979,9606.ENSP00000419361,AKAP6,ADCY5,9606,0.707,0,0.0,0.0,0.085,0.0,0.0,0.693
9606.ENSP00000282096,9606.ENSP00000419361,PDE3B,ADCY5,9606,0.805,0,0.0,0.0,0.055,0.126,0.67,0.368
9606.ENSP00000287820,9606.ENSP00000399888,PPARG,HMGA1,9606,0.733,0,0.0,0.0,0.0,0.622,0.0,0.323
9606.ENSP00000287820,9606.ENSP00000422607,PPARG,ACSL1,9606,0.745,0,0.0,0.0,0.06,0.046,0.0,0.739
9606.ENSP00000287820,9606.ENSP00000345708,PPARG,KCNJ11,9606,0.748,0,0.0,0.0,0.057,0.0,0.0,0.744
9606.ENSP00000287820,9606.ENSP00000381382,PPARG,TCF4,9606,0.764,0,0.0,0.0,0.087,0.292,0.0,0.664
9606.ENSP00000287820,9606.ENSP00000301455,PPARG,ANGPTL4,9606,0.875,0,0.0,0.0,0.054,0.045,0.5,0.756
9606.ENSP00000287820,9606.ENSP00000497642,PPARG,LPL,9606,0.941,0,0.0,0.0,0.151,0.0,0.5,0.874
9606.ENSP00000289104,9606.ENSP00000310244,MRAS,RASGRP1,9606,0.771,0,0.0,0.0,0.0,0.182,0.65,0.267
9606.ENSP00000289104,9606.ENSP00000418915,MRAS,CDKN2A,9606,0.925,0,0.0,0.0,0.048,0.102,0.9,0.234
9606.ENSP00000289104,9606.ENSP00000351015,MRAS,NF1,9606,0.955,0,0.0,0.0,0.051,0.32,0.9,0.385
9606.ENSP00000290341,9606.ENSP00000418823,IGF2BP1,FTO,9606,0.72,0,0.0,0.0,0.042,0.0,0.0,0.72
9606.ENSP00000290341,9606.ENSP00000410242,IGF2BP1,IGF2BP2,9606,0.829,0,0.0,0.053,0.195,0.679,0.0,0.386
9606.ENSP00000290341,9606.ENSP00000437621,IGF2BP1,HMGA2,9606,0.84,0,0.0,0.0,0.23,0.0,0.0,0.8
9606.ENSP00000290341,9606.ENSP00000391826,IGF2BP1,IGF2,9606,0.992,0,0.0,0.0,0.086,0.0,0.0,0.992
9606.ENSP00000290921,9606.ENSP00000371133,CTBP1,HMG20A,9606,0.703,0,0.0,0.0,0.067,0.0,0.0,0.695
9606.ENSP00000290921,9606.ENSP00000379065,CTBP1,TRPS1,9606,0.748,0,0.0,0.0,0.0,0.715,0.0,0.152
9606.ENSP00000290921,9606.ENSP00000369270,CTBP1,RREB1,9606,0.853,0,0.0,0.0,0.049,0.638,0.0,0.608
9606.ENSP00000290921,9606.ENSP00000312987,CTBP1,HNF4A,9606,0.936,0,0.0,0.0,0.0,0.0,0.0,0.936
9606.ENSP00000290921,9606.ENSP00000486891,CTBP1,TCF7L2,9606,0.977,0,0.0,0.0,0.05,0.51,0.9,0.571
9606.ENSP00000295900,9606.ENSP00000446576,ATXN7,ATXN2,9606,0.913,0,0.0,0.0,0.059,0.0,0.0,0.912
9606.ENSP00000301455,9606.ENSP00000497642,ANGPTL4,LPL,9606,0.994,0,0.0,0.0,0.049,0.236,0.9,0.93
9606.ENSP00000312987,9606.ENSP00000355925,HNF4A,PROX1,9606,0.777,0,0.0,0.0,0.067,0.364,0.0,0.655
9606.ENSP00000312987,9606.ENSP00000480291,HNF4A,HNF1B,9606,0.851,0,0.0,0.0,0.24,0.085,0.0,0.804
9606.ENSP00000312987,9606.ENSP00000486891,HNF4A,TCF7L2,9606,0.928,0,0.0,0.0,0.0,0.256,0.0,0.908
9606.ENSP00000312987,9606.ENSP00000438804,HNF4A,HNF1A,9606,0.988,0,0.0,0.0,0.323,0.085,0.75,0.934
9606.ENSP00000323568,9606.ENSP00000415011,SLC2A2,SLC30A8,9606,0.714,0,0.002,0.0,0.062,0.0,0.0,0.707
9606.ENSP00000323568,9606.ENSP00000368014,SLC2A2,PAX4,9606,0.803,0,0.0,0.0,0.043,0.0,0.0,0.803
9606.ENSP00000323568,9606.ENSP00000494321,SLC2A2,ABCC8,9606,0.809,0,0.0,0.0,0.057,0.066,0.0,0.801
9606.ENSP00000323568,9606.ENSP00000345708,SLC2A2,KCNJ11,9606,0.815,0,0.0,0.0,0.049,0.0,0.0,0.814
