gene,min_pvalue,max_pvalue_mlog,n_snps,has_functional_snp
LINC01438,0.0,1140.69897000434,60,0
F5,0.0,1050.39794000867,33,1
SLC2A9,0.0,703.52287874528,5,1
SLC2A9-AS1,0.0,568.154901959986,1,0
ABO,0.0,557.045757490561,124,1
WDR1 - RAF1P1,0.0,533.698970004336,3,0
RAF1P1 - ZNF518B,0.0,520.096910013008,4,0
PITX2 - LINC01438,0.0,442.154901959986,55,0
MCF2L,5E-324,323.301029995664,10,0
ZFHX3,2E-305,304.698970004336,62,0
KNG1,6E-304,303.221848749616,7,1
HRG-AS1,6E-304,303.221848749616,17,1
ABCG8,1E-300,300.0,33,0
CDKN2B-AS1,1E-300,300.0,203,0
ABCG5,1E-300,300.0,2,0
VTN,2E-296,295.698970004336,227,1
SARM1,2E-296,295.698970004336,241,1
FGG,2E-284,283.698970004336,13,0
TCF7L2,3E-271,270.52287874528,34,0
SIRPA,2E-263,262.698970004336,1,0
KCNN3,5E-258,257.301029995664,21,0
F11,4E-256,255.397940008672,33,1
LPA,1E-234,234.0,170,1
CLEC12A,1E-229,229.0,2,1
PTBP1P - MIR4708,2E-220,219.698970004336,4,0
SCN10A,6E-217,216.221848749616,23,1
NEURL1,7E-212,211.154901959986,33,0
PDGFRB,7E-210,209.154901959986,1,0
SAA2-SAA4,1E-202,202.0,3,1
SAA4,1E-202,202.0,3,1
AHSG,3E-197,196.52287874528,1,1
APOE,3E-196,195.52287874528,93,1
FGB,4E-191,190.397940008672,2,0
CAV1,1E-187,187.0,33,0
COL6A1,8E-181,180.096910013008,1,1
SIGLEC9,2E-180,179.698970004336,3,1
FCGR3A,1E-178,178.0,1,1
PLA2G7,1E-178,178.0,2,1
F2,1E-175,175.0,21,0
NME7,4E-168,167.397940008672,15,0
ATP1B1,4E-168,167.397940008672,21,0
FCGR2A,1E-165,165.0,4,1
ABCG2,4E-165,164.397940008672,2,0
GORAB - PRRX1,1E-163,163.0,27,0
EBI3,8E-163,162.096910013008,2,1
CPA4,2E-161,160.698970004336,1,1
ERAP2,7E-161,160.154901959986,3,0
TSPAN15,3E-160,159.52287874528,23,0
FGG - LRAT,7E-159,158.154901959986,5,0
MFSD1,2E-158,157.698970004336,1,0
SLC19A2 - F5,3E-155,154.52287874528,26,0
ADGRF5,8E-155,154.096910013008,1,0
HERPUD1 - CETP,1E-149,149.0,11,0
ACP1,6E-148,147.221848749616,1,1
TBX5,3E-145,144.52287874528,25,0
ABO - Y_RNA,4E-145,144.397940008672,31,0
USP8P1,6E-142,141.221848749616,3,0
WNT8A,5E-141,140.301029995664,2,0
HRG,1E-139,139.0,6,1
CPPED1,4E-139,138.397940008672,1,0
COMMD10,1E-138,138.0,1,1
SYNPO2L,2E-137,136.698970004336,30,1
SYNPO2L-AS1,2E-137,136.698970004336,28,1
FAM13B,8E-135,134.096910013008,11,0
HCN4 - REC114,6E-134,133.221848749616,22,0
PNPLA3,6E-126,125.221848749616,13,1
ESR2,2E-124,123.698970004336,23,0
SYNE2,2E-124,123.698970004336,24,0
LEPR,2E-122,121.698970004336,3,1
ITGA4,1E-121,121.0,1,1
PRDM8 - FGF5,4E-121,120.397940008672,73,0
COL2A1 - SENP1,5E-120,119.301029995664,2,0
LPA - PLG,9E-116,115.045757490561,22,0
CFB,7E-115,114.154901959986,4,1
PHACTR1,4E-114,113.397940008672,108,0
LINC01438 - MIR297,6E-113,112.221848749616,14,0
COLEC11,9E-113,112.045757490561,3,1
TAPBPL,1E-109,109.0,1,1
ATXN1,9E-109,108.045757490561,16,0
ZPR1,2E-108,107.698970004336,30,0
CAND2,2E-107,106.698970004336,27,1
APOC4-APOC2,2E-107,106.698970004336,5,1
APOC4,2E-107,106.698970004336,5,1
UQCC6,1E-106,106.0,2,0
HSP90B1,1E-106,106.0,2,0
KNOP1P1 - RN7SL38P,4E-106,105.397940008672,23,0
PILRA,2E-105,104.698970004336,1,1
LILRB1,3E-103,102.52287874528,1,0
PLXNB2,6E-103,102.221848749616,2,1
PROCR,2E-102,101.698970004336,27,1
ALDH2,1E-101,101.0,10,1
MICA,2E-100,99.698970004336,2,0
PLAUR,8E-100,99.0969100130081,3,1
