gene,min_pvalue,max_pvalue_mlog,n_snps,has_functional_snp
ABCG2,0.0,1421.0,49,1
SLC2A9,0.0,967.096910013008,45,1
HLA-DRB1 - HLA-DQA1,0.0,566.301029995664,33,0
FTO,0.0,324.0,20,0
PKD2,5E-324,323.301029995664,7,0
MUC22 - HCG22,1E-323,323.0,3,0
NOD2,1E-320,320.0,4,1
CYLD-AS1,1E-320,320.0,2,1
LINC02571 - HLA-B,1E-320,320.0,25,0
HLA-DQB1 - MTCO3P1,7E-309,308.154901959986,140,0
HLA-DOB,5E-305,304.301029995664,7,1
HLA-B - RNU6-283P,5E-304,303.301029995664,2,0
TSBP1,1E-300,300.0,11,0
HLA-DRB9 - HLA-DRB5,1E-300,300.0,28,0
MTCO3P1 - HLA-DQB3,1E-300,300.0,22,0
TSBP1-AS1,1E-300,300.0,73,1
HLA-DQB2 - HLA-DOB,3E-267,266.52287874528,8,0
HLA-DRB9,1E-250,250.0,22,0
HLA-DOB - TAP2,1E-237,237.0,2,0
NOTCH4 - TSBP1-AS1,5E-230,229.301029995664,12,0
TNXB,2E-217,216.698970004336,12,1
SLC17A1,1E-204,204.0,23,1
MICA-AS1,1E-200,200.0,9,0
TAP2 - PSMB8,3E-191,190.52287874528,2,0
WHR1,2E-188,187.698970004336,1,0
PTPN22,5E-174,173.301029995664,33,1
AP4B1-AS1,5E-174,173.301029995664,35,1
SLC22A12,1E-173,173.0,5,0
LINC01875 - TMEM18,1E-169,169.0,11,0
GCKR,5E-166,165.301029995664,30,1
PHTF1 - RSBN1,4E-161,160.397940008672,15,0
HLA-DMA,6E-149,148.221848749616,4,1
IL23R,1E-143,143.0,13,1
SH2B3,1E-142,142.0,10,1
ATXN2,1E-142,142.0,15,1
HLA-DQA2,4E-137,136.397940008672,5,0
HCG24 - COL11A2,5E-133,132.301029995664,4,0
TSBP1-AS1 - HLA-DRA,2E-124,123.698970004336,16,0
TAP2,2E-121,120.698970004336,13,1
HLA-B,6E-120,119.221848749616,10,0
TRAFD1 - HECTD4,3E-107,106.52287874528,1,0
NAA25,7E-102,101.154901959986,3,0
SLC22A11 - SLC22A12,4E-101,100.397940008672,7,0
RNU6-283P - FGFR3P1,1E-100,100.0,2,0
RPL3P2 - WASF5P,2E-99,98.698970004336,1,0
C1orf141,1E-98,98.0,6,0
LINC01865,3E-98,97.5228787452803,4,0
MTCO3P1,2E-97,96.698970004336,2,0
MICB,2E-96,95.698970004336,8,0
HLA-DRA,7E-94,93.1549019599858,6,0
PBX2 - GPSM3,1E-93,93.0,1,0
CTLA4 - ICOS,2E-90,89.698970004336,20,0
SLC16A9,2E-90,89.698970004336,19,0
C2,3E-90,89.5228787452803,6,0
C2-AS1,3E-90,89.5228787452803,1,0
HLA-DPB1,1E-89,89.0,11,0
HLA-DOA - HLA-DPA1,8E-89,88.0969100130081,23,0
PDZK1 - CD160,8E-89,88.0969100130081,7,0
R3HDM2,2E-88,87.698970004336,9,0
KRT8P26 - AP5B1,2E-88,87.698970004336,7,0
