gene,min_pvalue,max_pvalue_mlog,n_snps,has_functional_snp
TCF7L2,0.0,1314.52287874528,143,0
KCNQ1,0.0,484.52287874528,116,0
CDKAL1,0.0,415.52287874528,82,0
CDKN2B-AS1,0.0,355.096910013008,81,0
FTO,2E-309,308.698970004336,50,0
LINC02571 - HLA-B,2E-302,301.698970004336,7,0
RPL3P2 - WASF5P,2E-302,301.698970004336,1,0
IGF2BP2,2E-279,278.698970004336,58,0
CCND2,5E-236,235.301029995664,29,0
CCND2-AS1,5E-236,235.301029995664,30,0
HHEX - Y_RNA,3E-223,222.52287874528,34,0
SLC30A8,2E-219,218.698970004336,54,1
PAX4,1E-179,179.0,15,1
CDC123 - RN7SL198P,1E-179,179.0,35,0
MTNR1B,4E-132,131.397940008672,22,0
JAZF1,1E-131,131.0,41,0
HNF1B,2E-123,122.698970004336,36,0
NYAP2 - MIR5702,3E-120,119.52287874528,48,0
KCNJ11,1E-107,107.0,23,1
MRFAP1P1 - DUSP9,8E-106,105.096910013008,7,0
SND1 - MIR129-1,5E-105,104.301029995664,3,0
LINC01080,7E-105,104.154901959986,28,0
GTF3AP5 - AGMO,6E-102,101.221848749616,18,0
GPSM1,9E-101,100.045757490561,33,1
WFS1,3E-100,99.5228787452803,23,1
MIR4686 - ASCL2,3E-99,98.5228787452803,22,0
HMG20A,3E-99,98.5228787452803,16,0
C5orf67,6E-98,97.2218487496164,44,0
ANK1,2E-94,93.698970004336,18,0
ADCY5,2E-92,91.698970004336,33,0
AP4B1-AS1,1E-91,91.0,3,1
PTPN22,1E-91,91.0,3,1
RN7SL836P - GIPR,8E-89,88.0969100130081,18,0
GRB14 - COBLL1,1E-88,88.0,10,0
ARAP1,6E-88,87.2218487496164,30,1
GCKR,4E-86,85.397940008672,25,1
GC,9E-86,85.0457574905607,4,1
UBE2E2,7E-82,81.1549019599858,37,0
KIF11,3E-80,79.5228787452803,2,0
ZPR1,3E-80,79.5228787452803,1,0
TLE1-DT,5E-80,79.301029995664,24,0
CDKN2A-AS1,1E-79,79.0,3,0
NKX6-3 - ANK1,8E-79,78.0969100130081,11,0
ZMIZ1,1E-78,78.0,29,0
HLA-DQA1 - HLA-DQB1,3E-78,77.5228787452803,3,0
PPARG,3E-78,77.5228787452803,35,1
RPSAP52,1E-76,76.0,11,0
GLIS3,5E-76,75.301029995664,28,0
IDE,7E-75,74.1549019599858,4,0
CTRB2 - CTRB1,4E-73,72.397940008672,14,0
THADA,9E-73,72.0457574905607,27,1
EIF2S2P3 - HHEX,1E-71,71.0,5,0
PROX1-AS1,1E-70,70.0,27,0
PROX1,1E-70,70.0,17,0
WFS1 - PPP2R2C,6E-70,69.2218487496164,3,0
RN7SKP15 - PTHLH,1E-69,69.0,20,0
MIR4432HG,1E-69,69.0,23,0
CTBP1,1E-69,69.0,9,0
DUSP9,2E-67,66.698970004336,3,0
LINC03111 - RNU4-17P,6E-67,66.2218487496164,7,0
CDKN2A,6E-66,65.2218487496164,3,0
HNF4A-AS1,2E-65,64.698970004336,27,0
HNF4A,2E-65,64.698970004336,39,1
CENPW - MIR588,3E-65,64.5228787452803,18,0
HMG20A - LINGO1,5E-65,64.301029995664,14,0
APOE,6E-65,64.2218487496164,11,1
NPM1P47 - C2CD4B,2E-64,63.698970004336,20,0
RPS3AP18 - TMEM154,5E-64,63.301029995664,20,0
PABPC4,5E-62,61.301029995664,9,0
PABPC4-AS1,5E-62,61.301029995664,9,0
HP - HPR,1E-60,60.0,2,0
ARPIN-AP3S2,1E-60,60.0,20,0
AP3S2,1E-60,60.0,21,0
SLC30A8 - MED30,2E-60,59.698970004336,6,0
KCNQ1OT1,4E-60,59.397940008672,26,0
DGKB,3E-59,58.5228787452803,19,0
PRC1,5E-59,58.301029995664,21,0
PRC1-AS1,5E-59,58.301029995664,21,0
UBE3C,2E-58,57.698970004336,18,0
COBLL1,2E-58,57.698970004336,23,1
IL12B-AS1,2E-56,55.698970004336,4,0
RREB1,7E-56,55.1549019599857,26,1
TACC3 - FGFR3,4E-55,54.397940008672,16,0
HSPA8P5 - CCND2-AS1,4E-55,54.397940008672,9,0
PDE8B,7E-55,54.1549019599857,36,0
ZBED3-AS1,7E-55,54.1549019599857,17,0
ABCC8,1E-54,54.0,8,1
RNF6,1E-53,53.0,18,0
SCAANT1,2E-52,51.698970004336,7,0
ATXN7,2E-52,51.698970004336,15,0
ABO,5E-52,51.301029995664,18,1
SLC22A3,3E-51,50.5228787452803,12,0
LPL,4E-51,50.397940008672,5,1
SND1,6E-51,50.2218487496164,4,0
HNF1A,1E-50,50.0,19,1
CAMK2B,1E-50,50.0,7,1
MACF1,1E-48,48.0,19,1
KLF7P1 - RNU1-70P,3E-48,47.5228787452803,3,0
LINC01991 - LPP-AS2,2E-47,46.698970004336,14,0
TOMM22P3 - KL,5E-47,46.301029995664,17,0
HNF1A-AS1,7E-47,46.1549019599857,15,1
ZNF800,9E-47,46.0457574905607,1,0
POU5F1,9E-46,45.0457574905607,9,0
PPIAP23 - MIR17HG,2E-45,44.698970004336,14,0
PAM,3E-45,44.5228787452803,20,1
LINC01875 - TMEM18,4E-45,44.397940008672,17,0
ZZEF1,1E-44,44.0,20,1
ST6GAL1,6E-44,43.2218487496164,19,0
